#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,"177,086,088","+64,266","3,829,038","+1,437","161,294,735","+84,758","11,962,315","84,444","22,718",491.2,,,,All,,,,,,,
1,USA,"34,335,239",,"615,232 ",,"28,436,981",,"5,283,026","4,403","103,155","1,848","495,219,762","1,487,818","332,849,650 ",North America,105411,,,"15,872"
2,India,"29,570,881",+846,"377,061 ",,"28,280,472","+7,692","913,348","8,944","21,230",271,"381,375,984","273,800","1,392,901,572 ",Asia,"473,6944",0.6,,656
3,Brazil,"17,454,861",,"488,404 ",,"15,854,264",,"1,112,193","8,318","81,566","2,282","50,801,042","237,392","213,996,756 ",South America,124384,,,"5,197"
4,France,"5,741,354",,"110,454 ",,"5,498,596",,"132,304","2,068","87,773","1,689","89,335,868","1,365,761","65,411,076 ",Europe,115921,,,"2,023"
5,Turkey,"5,336,073",,"48,795 ",,"5,206,836",,"80,442",929,"62,629",573,"57,223,789","671,629","85,201,530 ",Asia,"161,7461",,,944
6,Russia,"5,236,593","+14,185","127,180 ",+379,"4,818,244","+8,597","291,169","2,300","35,869",871,"143,300,000","981,547","145,994,086 ",Europe,"281,1481",97,3,"1,994"
7,UK,"4,573,419",,"127,907 ",,"4,289,778",,"155,734",161,"67,034","1,875","195,734,654","2,868,941","68,225,401 ",Europe,155330,,,"2,283"
8,Italy,"4,245,779",,"127,038 ",,"3,960,951",,"157,790",536,"70,321","2,104","68,684,085","1,137,585","60,377,078 ",Europe,144751,,,"2,613"
9,Argentina,"4,145,482",,"86,029 ",,"3,748,794",,"310,659","7,969","90,929","1,887","15,288,817","335,354","45,590,077 ",South America,115303,,,"6,814"
10,Colombia,"3,777,600",,"96,366 ",,"3,510,709",,"170,525","8,155","73,497","1,875","18,252,274","355,114","51,398,316 ",South America,145333,,,"3,318"
11,Spain,"3,741,767",,"80,517 ",,"3,526,831",,"134,419",917,"80,000","1,721","51,240,666","1,095,541","46,772,033 ",Europe,125811,,,"2,874"
12,Germany,"3,724,201",,"90,527 ",,"3,586,000","+5,400","47,674","1,598","44,315","1,077","62,263,057","740,883","84,039,039 ",Europe,239281,,,567
13,Iran,"3,049,648","+10,216","82,351 ",+134,"2,683,210","+16,609","284,087","3,394","35,872",969,"21,817,747","256,637","85,014,049 ",Asia,"281,0324",120,2,"3,342"
14,Poland,"2,877,819",+215,"74,626 ",+52,"2,649,080",+221,"154,113",277,"76,118","1,974","16,660,303","440,666","37,807,102 ",Europe,135072,6,1,"4,076"
15,Mexico,"2,455,351","+1,175","230,185 ",+37,"1,956,576","+2,324","268,590","4,798","18,855","1,768","7,233,257","55,546","130,220,196 ",North America,5356618,9,0.3,"2,063"
16,Ukraine,"2,224,992","+1,014","51,769 ",+77,"2,136,176","+5,511","37,047",177,"51,169","1,191","10,516,186","241,846","43,483,060 ",Europe,208404,23,2,852
17,Peru,"2,004,252",,"188,921 ",,N/A,N/A,N/A,"2,535","59,993","5,655","13,471,110","403,231","33,407,957 ",South America,171772,,,"2,834"
18,Indonesia,"1,927,708","+8,161","53,280 ",+164,"1,757,641","+6,407","116,787",,"6,978",193,"17,994,502","65,133","276,272,465 ",Asia,"1435,18515",30,0.6,423
19,South Africa,"1,752,630",,"57,879 ",,"1,611,447",,"83,304",546,"29,201",964,"12,223,448","203,660","60,018,957 ",Africa,"341,0375",,,"1,388"
20,Netherlands,"1,673,596",,"17,714 ",,"1,576,014",,"79,868",264,"97,467","1,032","14,444,249","841,201","17,170,982 ",Europe,109691,,,"4,651"
21,Czechia,"1,665,327",+188,"30,229 ",,"1,630,938",+27,"4,160",24,"155,233","2,818","27,067,357","2,523,079","10,727,905 ",Europe,63550,18,,388
22,Chile,"1,482,663",,"30,804 ",,"1,406,555",,"45,304","3,290","76,933","1,598","16,031,930","831,867","19,272,237 ",South America,136261,,,"2,351"
23,Canada,"1,403,285",,"25,944 ",,"1,361,387",,"15,954",670,"36,873",682,"35,785,462","940,317","38,056,808 ",North America,"271,4671",,,419
24,Philippines,"1,327,431","+5,389","22,963 ",+118,"1,246,405","+6,667","58,063","1,704","11,962",207,"14,137,513","127,404","110,966,155 ",Asia,"844,8328",49,1,523
25,Iraq,"1,259,683",,"16,736 ",,"1,176,576",,"66,371",464,"30,666",407,"11,014,936","268,151","41,077,310 ",Asia,"332,4544",,,"1,616"
26,Sweden,"1,083,456",,"14,537 ",,"1,029,008",,"39,911",106,"106,648","1,431","10,423,085","1,025,977","10,159,183 ",Europe,96991,,,"3,929"
27,Romania,"1,079,879",+103,"31,957 ",+10,"1,044,563",+159,"3,359",202,"56,493","1,672","9,434,296","493,549","19,115,223 ",Europe,185982,5,0.5,176
28,Belgium,"1,076,579",+241,"25,093 ",+5,"1,003,023",,"48,463",274,"92,508","2,156","14,551,567","1,250,388","11,637,638 ",Europe,114641,21,0.4,"4,164"
29,Pakistan,"943,027",+838,"21,782 ",+59,"880,316","+1,576","40,929","2,611","4,192",97,"13,892,289","61,755","224,958,200 ",Asia,"23910,32816",4,0.3,182
30,Portugal,"858,072",,"17,047 ",,"815,622",,"25,403",77,"84,386","1,676","12,374,151","1,216,927","10,168,359 ",Europe,125961,,,"2,498"
31,Israel,"839,690",,"6,430 ",,"833,029",,231,30,"90,038",689,"14,758,111","1,582,470","9,326,000 ",Asia,"111,4501",,,25
32,Bangladesh,"829,972",,"13,172 ",,"768,830",,"47,970","1,194","4,992",79,"6,195,714","37,268","166,249,007 ",Asia,"20012,62127",,,289
33,Hungary,"807,102",+57,"29,935 ",+10,"731,626","+1,038","45,541",44,"83,751","3,106","5,996,016","622,189","9,636,963 ",Europe,123222,6,1,"4,726"
34,Japan,"776,307",+936,"14,126 ",+55,"733,316","+2,870","28,865",827,"6,156",112,"15,494,981","122,871","126,107,259 ",Asia,"1628,9278",7,0.4,229
35,Jordan,"743,877",,"9,602 ",,"726,932",,"7,343",540,"72,225",932,"7,563,575","734,369","10,299,417 ",Asia,"141,0731",,,713
36,Serbia,"715,015",,"6,970 ",,"703,771",,"4,274",24,"82,150",801,"4,282,416","492,017","8,703,804 ",Europe,"121,2492",,,491
37,Switzerland,"700,735",,"10,861 ",,"668,678",,"21,196",86,"80,407","1,246","7,999,355","917,902","8,714,827 ",Europe,128021,,,"2,432"
38,Malaysia,"667,876","+5,419","4,069 ",+101,"593,695","+6,831","70,112",922,"20,387",124,"13,290,585","405,697","32,759,865 ",Asia,"498,0512",165,3,"2,140"
39,Austria,"648,849",+117,"10,668 ",+6,"634,439",+316,"3,742",97,"71,654","1,178","48,813,163","5,390,563","9,055,300 ",Europe,148490,13,0.7,413
40,Nepal,"610,521",,"8,465 ",,"536,252",,"65,804",,"20,602",286,"3,224,163","108,800","29,633,797 ",Asia,"493,5019",,,"2,221"
41,UAE,"601,950","+2,127","1,734 ",+4,"581,139","+2,094","19,077",,"60,171",173,"53,787,952","5,376,685","10,003,924 ",Asia,"175,7690",213,0.4,"1,907"
42,Lebanon,"542,649",,"7,801 ",,"527,645",,"7,203",77,"79,845","1,148","4,599,186","676,720","6,796,290 ",Asia,138711,,,"1,060"
43,Morocco,"523,999",,"9,213 ",,"511,440",,"3,346",110,"14,038",247,"6,634,272","177,738","37,326,203 ",Africa,"714,0516",,,90
44,Saudi Arabia,"466,906",,"7,590 ",,"449,241",,"10,075","1,596","13,216",215,"20,438,923","578,541","35,328,415 ",Asia,"764,6552",,,285
45,Ecuador,"439,139",,"21,051 ",,"398,645",,"19,443",444,"24,537","1,176","1,471,040","82,193","17,897,337 ",South America,4185012,,,"1,086"
46,Bulgaria,"420,493",,"17,915 ",,"390,388",,"12,190",242,"60,954","2,597","3,000,226","434,909","6,898,520 ",Europe,163852,,,"1,767"
47,Greece,"415,401",,"12,437 ",,"393,123",,"9,841",353,"40,041","1,199","10,079,010","971,519","10,374,487 ",Europe,258341,,,949
48,Bolivia,"409,106","+2,152","15,614 ",+72,"324,028","+2,363","69,464",200,"34,599","1,321","1,646,029","139,208","11,824,220 ",South America,297577,182,6,"5,875"
